,Total,PRCP,SNOW,SNWD,TMAX,TMIN,AWND,WDF2,WSF2
2015-03-25,2040.0,51,0,0,144,72,44,200,76
2015-03-26,3496.0,0,0,0,206,100,22,200,58
2015-03-27,3015.0,10,0,0,183,89,40,220,98
2015-03-28,1796.0,0,0,0,156,94,57,220,107
2015-03-29,1408.0,0,0,0,156,89,30,220,63
2015-03-30,3339.0,18,0,0,178,106,29,220,58
2015-03-31,2022.0,10,0,0,128,61,42,220,112
2015-04-01,2427.0,51,0,0,128,56,32,210,89
2015-04-02,2828.0,0,0,0,133,56,24,250,45
2015-04-03,2611.0,15,0,0,111,50,36,190,89
2015-04-04,1987.0,0,0,0,128,39,17,200,54
2015-04-05,1729.0,0,0,0,167,28,24,10,40
2015-04-06,2955.0,10,0,0,139,67,35,180,63
2015-04-07,3048.0,5,0,0,144,67,39,10,72
2015-04-08,3351.0,0,0,0,172,61,17,290,72
2015-04-09,3670.0,0,0,0,172,61,23,110,76
2015-04-10,2219.0,109,0,0,139,78,46,230,103
2015-04-11,1264.0,0,0,0,117,56,65,200,112
2015-04-12,1701.0,0,0,0,133,56,36,210,72
2015-04-13,2158.0,140,0,0,117,39,36,190,94
2015-04-14,2424.0,33,0,0,117,28,33,200,72
2015-04-15,3697.0,0,0,0,139,33,24,320,54
2015-04-16,4002.0,0,0,0,178,39,31,340,67
2015-04-17,3454.0,0,0,0,189,61,36,10,94
2015-04-18,2401.0,0,0,0,189,83,39,360,72
2015-04-19,2775.0,0,0,0,211,83,36,350,67
2015-04-20,4556.0,0,0,0,228,78,26,50,72
2015-04-21,3243.0,56,0,0,172,67,34,40,94
2015-04-22,3351.0,0,0,0,156,50,23,210,58
2015-04-23,2458.0,30,0,0,122,67,41,220,76
2015-04-24,2276.0,33,0,0,122,61,50,220,98
2015-04-25,1616.0,13,0,0,133,56,30,290,63
2015-04-26,1566.0,0,0,0,156,44,27,180,58
2015-04-27,4140.0,3,0,0,250,106,23,130,58
2015-04-28,2745.0,18,0,0,156,89,43,30,89
2015-04-29,3437.0,0,0,0,161,72,47,220,81
2015-04-30,3608.0,0,0,0,172,78,21,30,54
2015-05-01,4224.0,0,0,0,183,89,37,40,76
2015-05-02,2215.0,0,0,0,183,78,37,360,72
2015-05-03,2235.0,0,0,0,206,78,26,290,54
2015-05-04,4520.0,0,0,0,172,72,52,220,103
2015-05-05,2605.0,61,0,0,144,72,51,30,94
2015-05-06,4231.0,0,0,0,167,72,26,10,81
2015-05-07,4916.0,0,0,0,206,61,30,350,72
2015-05-08,4452.0,0,0,0,239,83,30,350,72
2015-05-09,2753.0,0,0,0,267,94,26,50,54
2015-05-10,1958.0,0,0,0,194,111,28,220,63
2015-05-11,3676.0,0,0,0,139,100,25,190,45
2015-05-12,3653.0,43,0,0,156,106,33,190,67
2015-05-13,2707.0,41,0,0,122,100,28,200,63
2015-05-14,3811.0,3,0,0,178,94,20,10,45
2015-05-15,5053.0,0,0,0,200,94,28,240,63
2015-05-16,1655.0,0,0,0,156,111,30,220,58
2015-05-17,2011.0,0,0,0,194,106,21,20,45
2015-05-18,4845.0,0,0,0,256,122,30,350,63
2015-05-19,4872.0,0,0,0,217,117,26,210,40
2015-05-20,4580.0,0,0,0,233,106,18,350,45
2015-05-21,4768.0,0,0,0,256,117,21,200,63
2015-05-22,3668.0,0,0,0,167,117,37,200,63
2015-05-23,1580.0,0,0,0,161,117,26,220,40
2015-05-24,1776.0,0,0,0,178,111,27,260,54
2015-05-25,1737.0,0,0,0,156,111,27,210,58
2015-05-26,4254.0,0,0,0,217,117,21,280,58
2015-05-27,4771.0,0,0,0,244,117,18,290,54
2015-05-28,5142.0,0,0,0,278,122,21,20,58
2015-05-29,4548.0,0,0,0,261,128,25,210,54
2015-05-30,2308.0,0,0,0,228,100,25,210,58
2015-05-31,2251.0,0,0,0,250,117,22,10,63
2015-06-01,2989.0,46,0,0,161,117,34,210,72
2015-06-02,3078.0,5,0,0,178,128,50,190,89
2015-06-03,3658.0,0,0,0,200,117,30,20,63
2015-06-04,4637.0,0,0,0,228,117,39,340,67
2015-06-05,4333.0,0,0,0,267,128,43,340,98
2015-06-06,2475.0,0,0,0,294,133,26,360,72
2015-06-07,2487.0,0,0,0,311,156,32,360,67
2015-06-08,4475.0,0,0,0,306,144,35,20,72
2015-06-09,4935.0,0,0,0,289,144,27,340,67
2015-06-10,4977.0,0,0,0,256,111,30,200,58
2015-06-11,4719.0,0,0,0,244,111,35,50,94
2015-06-12,3769.0,0,0,0,200,117,23,60,72
2015-06-13,2688.0,0,0,0,239,94,26,360,54
2015-06-14,2556.0,0,0,0,278,117,37,40,67
2015-06-15,4581.0,0,0,0,300,161,35,30,63
2015-06-16,4551.0,0,0,0,228,111,30,210,58
2015-06-17,4711.0,0,0,0,250,111,31,20,63
2015-06-18,4284.0,0,0,0,244,139,30,20,72
2015-06-19,3417.0,5,0,0,239,133,32,20,72
2015-06-20,2323.0,0,0,0,250,128,43,10,94
2015-06-21,2170.0,0,0,0,256,139,34,10,67
2015-06-22,4456.0,0,0,0,250,128,24,210,58
2015-06-23,4998.0,0,0,0,261,117,24,40,67
2015-06-24,4725.0,0,0,0,256,161,26,10,54
2015-06-25,4709.0,0,0,0,306,156,30,20,58
2015-06-26,3869.0,0,0,0,317,178,47,10,76
2015-06-27,2210.0,0,0,0,333,172,39,340,76
2015-06-28,2101.0,3,0,0,283,183,21,190,81
2015-06-29,4181.0,0,0,0,289,172,27,280,54
2015-06-30,4655.0,0,0,0,306,150,34,40,94
2015-07-01,4651.0,0,0,0,322,172,43,20,67
2015-07-02,3937.0,0,0,0,339,178,34,340,72
2015-07-03,2313.0,0,0,0,333,178,26,300,58
2015-07-04,2443.0,0,0,0,333,150,29,330,67
2015-07-05,1919.0,0,0,0,328,167,21,350,58
2015-07-06,4066.0,0,0,0,294,156,32,220,67
2015-07-07,4635.0,0,0,0,272,139,24,290,54
2015-07-08,4761.0,0,0,0,300,144,19,290,58
2015-07-09,4479.0,0,0,0,289,144,34,200,63
2015-07-10,3772.0,0,0,0,211,167,37,220,63
2015-07-11,2053.0,0,0,0,222,167,30,240,63
2015-07-12,2037.0,0,0,0,261,167,22,240,54
2015-07-13,4069.0,0,0,0,256,161,31,360,72
2015-07-14,4795.0,0,0,0,278,161,33,290,63
2015-07-15,4686.0,0,0,0,261,144,32,10,72
2015-07-16,4424.0,0,0,0,261,150,28,60,58
2015-07-17,3813.0,0,0,0,278,139,33,340,81
2015-07-18,2195.0,0,0,0,333,178,34,340,67
2015-07-19,1963.0,0,0,0,350,172,33,230,72
2015-07-20,4213.0,0,0,0,267,167,39,200,76
2015-07-21,4268.0,0,0,0,239,150,24,30,63
2015-07-22,4648.0,0,0,0,239,139,28,250,58
2015-07-23,4359.0,0,0,0,261,144,19,180,58
2015-07-24,3628.0,3,0,0,228,133,38,230,76
2015-07-25,1384.0,0,0,0,211,144,24,240,58
2015-07-26,1452.0,20,0,0,222,139,26,310,67
2015-07-27,4102.0,0,0,0,233,122,19,270,54
2015-07-28,4715.0,0,0,0,278,139,34,40,67
2015-07-29,4734.0,0,0,0,322,144,38,350,72
2015-07-30,4379.0,0,0,0,344,172,35,20,67
2015-07-31,3887.0,0,0,0,344,178,26,10,58
2015-08-01,2219.0,0,0,0,333,156,31,350,67
2015-08-02,1883.0,0,0,0,306,161,20,30,72
2015-08-03,4243.0,0,0,0,283,172,23,190,45
2015-08-04,4655.0,0,0,0,261,144,26,240,58
2015-08-05,4108.0,0,0,0,233,122,35,10,89
2015-08-06,4295.0,0,0,0,250,150,29,290,67
2015-08-07,4100.0,0,0,0,283,156,37,280,67
2015-08-08,2014.0,0,0,0,250,156,36,230,72
2015-08-09,2945.0,0,0,0,283,150,22,350,40
2015-08-10,3898.0,0,0,0,289,161,24,330,54
2015-08-11,4530.0,0,0,0,300,167,44,360,89
2015-08-12,4403.0,76,0,0,283,167,27,160,76
2015-08-13,4428.0,0,0,0,283,156,22,220,40
2015-08-14,2062.0,305,0,0,183,150,52,220,94
2015-08-15,1702.0,0,0,0,217,139,37,190,67
2015-08-16,2333.0,0,0,0,250,144,37,360,72
2015-08-17,4319.0,0,0,0,272,139,30,350,76
2015-08-18,4508.0,0,0,0,300,150,30,340,63
2015-08-19,4548.0,0,0,0,317,161,21,20,54
2015-08-20,3846.0,20,0,0,228,144,42,270,67
2015-08-21,3606.0,0,0,0,222,144,26,200,58
2015-08-22,2090.0,0,0,0,267,122,25,20,63
2015-08-23,2016.0,0,0,0,278,139,18,10,67
2015-08-24,4072.0,0,0,0,239,122,23,190,54
2015-08-25,4473.0,0,0,0,256,122,34,350,63
2015-08-26,4331.0,0,0,0,283,139,17,30,58
2015-08-27,4336.0,0,0,0,294,144,21,230,45
2015-08-28,2653.0,5,0,0,233,156,26,230,81
2015-08-29,699.0,325,0,0,222,133,58,210,157
2015-08-30,1213.0,102,0,0,200,128,47,200,89
2015-08-31,2823.0,0,0,0,189,161,58,210,112
2015-09-01,2876.0,58,0,0,194,139,-9999,-9999,-9999
